timestep,phase,slot_idx,output_idx,feature_idx,input_spikes,leak_term,input_sum,recurrent_sum,membrane_out,spike_out,feature_value,weight,product,accumulator,position_estimate,velocity_estimate
4,readout,,1,6,"0,0,0,0",,,,,,-0.50439453125,-0.113525390625,0.057373046875,0.056396484375,0.407470703125,0.074951171875
4,readout,,1,7,"0,0,0,0",,,,,,-0.564697265625,-0.090576171875,0.05126953125,0.107666015625,0.407470703125,0.074951171875
4,readout,,1,8,"0,0,0,0",,,,,,0.1875,0.736328125,0.13818359375,0.245849609375,0.407470703125,0.074951171875
4,readout,,1,9,"0,0,0,0",,,,,,-0.01806640625,0.166015625,-0.0029296875,0.242919921875,0.407470703125,0.074951171875
4,readout,,1,10,"0,0,0,0",,,,,,1.0,-0.16796875,-0.16796875,0.074951171875,0.407470703125,0.074951171875
5,neuron,0,,,"1,0,0,0",-0.47802734375,-0.21142578125,0.0,-0.689453125,0,,,,,,
5,neuron,1,,,"1,0,0,0",-0.211669921875,0.04296875,0.0,-0.168701171875,0,,,,,,
5,neuron,2,,,"1,0,0,0",-1.266845703125,-0.554931640625,0.0,-1.82177734375,0,,,,,,
5,neuron,3,,,"1,0,0,0",-0.5419921875,-0.090576171875,0.0,-0.632568359375,0,,,,,,
5,neuron,4,,,"1,0,0,0",0.252685546875,0.15283203125,0.0,0.405517578125,0,,,,,,
5,neuron,5,,,"1,0,0,0",0.290283203125,0.571533203125,0.0,0.86181640625,0,,,,,,
5,neuron,6,,,"1,0,0,0",-0.44140625,-0.427001953125,0.0,-0.868408203125,0,,,,,,
5,neuron,7,,,"1,0,0,0",-0.494140625,-0.383056640625,0.0,-0.877197265625,0,,,,,,
5,readout,,0,0,"1,0,0,0",,,,,,-0.689453125,-0.245849609375,0.16943359375,0.16943359375,0.440185546875,0.199951171875
5,readout,,0,1,"1,0,0,0",,,,,,-0.168701171875,0.25048828125,-0.042236328125,0.127197265625,0.440185546875,0.199951171875
5,readout,,0,2,"1,0,0,0",,,,,,-1.82177734375,-0.015380859375,0.028076171875,0.1552734375,0.440185546875,0.199951171875
5,readout,,0,3,"1,0,0,0",,,,,,-0.632568359375,-0.057373046875,0.036376953125,0.191650390625,0.440185546875,0.199951171875
5,readout,,0,4,"1,0,0,0",,,,,,0.405517578125,0.0048828125,0.001953125,0.193603515625,0.440185546875,0.199951171875
5,readout,,0,5,"1,0,0,0",,,,,,0.86181640625,0.10595703125,0.09130859375,0.284912109375,0.440185546875,0.199951171875
5,readout,,0,6,"1,0,0,0",,,,,,-0.868408203125,-0.00244140625,0.002197265625,0.287109375,0.440185546875,0.199951171875
5,readout,,0,7,"1,0,0,0",,,,,,-0.877197265625,0.31591796875,-0.277099609375,0.010009765625,0.440185546875,0.199951171875
5,readout,,0,8,"1,0,0,0",,,,,,0.2373046875,1.9990234375,0.474365234375,0.484375,0.440185546875,0.199951171875
5,readout,,0,9,"1,0,0,0",,,,,,0.02490234375,-1.9990234375,-0.0498046875,0.4345703125,0.440185546875,0.199951171875
5,readout,,0,10,"1,0,0,0",,,,,,1.0,0.005615234375,0.005615234375,0.440185546875,0.440185546875,0.199951171875
5,readout,,1,0,"1,0,0,0",,,,,,-0.689453125,0.021240234375,-0.0146484375,-0.0146484375,0.440185546875,0.199951171875
5,readout,,1,1,"1,0,0,0",,,,,,-0.168701171875,-0.540771484375,0.09130859375,0.07666015625,0.440185546875,0.199951171875
5,readout,,1,2,"1,0,0,0",,,,,,-1.82177734375,0.103271484375,-0.188232421875,-0.111572265625,0.440185546875,0.199951171875
5,readout,,1,3,"1,0,0,0",,,,,,-0.632568359375,0.0478515625,-0.0302734375,-0.141845703125,0.440185546875,0.199951171875
5,readout,,1,4,"1,0,0,0",,,,,,0.405517578125,-0.000244140625,0.0,-0.141845703125,0.440185546875,0.199951171875
5,readout,,1,5,"1,0,0,0",,,,,,0.86181640625,0.17724609375,0.15283203125,0.010986328125,0.440185546875,0.199951171875
5,readout,,1,6,"1,0,0,0",,,,,,-0.868408203125,-0.113525390625,0.0986328125,0.109619140625,0.440185546875,0.199951171875
5,readout,,1,7,"1,0,0,0",,,,,,-0.877197265625,-0.090576171875,0.079345703125,0.18896484375,0.440185546875,0.199951171875
5,readout,,1,8,"1,0,0,0",,,,,,0.2373046875,0.736328125,0.1748046875,0.36376953125,0.440185546875,0.199951171875
5,readout,,1,9,"1,0,0,0",,,,,,0.02490234375,0.166015625,0.004150390625,0.367919921875,0.440185546875,0.199951171875
5,readout,,1,10,"1,0,0,0",,,,,,1.0,-0.16796875,-0.16796875,0.199951171875,0.440185546875,0.199951171875
6,neuron,0,,,"1,0,0,0",-0.603271484375,-0.21142578125,0.0,-0.814697265625,0,,,,,,
6,neuron,1,,,"1,0,0,0",-0.147705078125,0.04296875,0.0,-0.104736328125,0,,,,,,
6,neuron,2,,,"1,0,0,0",-1.593994140625,-0.554931640625,0.0,-2.14892578125,0,,,,,,
6,neuron,3,,,"1,0,0,0",-0.553466796875,-0.090576171875,0.0,-0.64404296875,0,,,,,,
6,neuron,4,,,"1,0,0,0",0.354736328125,0.15283203125,0.0,0.507568359375,0,,,,,,
6,neuron,5,,,"1,0,0,0",0.754150390625,0.571533203125,0.0,0.32568359375,1,,,,,,
6,neuron,6,,,"1,0,0,0",-0.759765625,-0.427001953125,0.0,-1.186767578125,0,,,,,,
6,neuron,7,,,"1,0,0,0",-0.767578125,-0.383056640625,0.0,-1.150634765625,0,,,,,,
6,readout,,0,0,"1,0,0,0",,,,,,-0.814697265625,-0.245849609375,0.2001953125,0.2001953125,0.384521484375,0.0771484375
6,readout,,0,1,"1,0,0,0",,,,,,-0.104736328125,0.25048828125,-0.026123046875,0.174072265625,0.384521484375,0.0771484375
6,readout,,0,2,"1,0,0,0",,,,,,-2.14892578125,-0.015380859375,0.032958984375,0.20703125,0.384521484375,0.0771484375
6,readout,,0,3,"1,0,0,0",,,,,,-0.64404296875,-0.057373046875,0.036865234375,0.243896484375,0.384521484375,0.0771484375
6,readout,,0,4,"1,0,0,0",,,,,,0.507568359375,0.0048828125,0.00244140625,0.246337890625,0.384521484375,0.0771484375
6,readout,,0,5,"1,0,0,0",,,,,,0.32568359375,0.10595703125,0.034423828125,0.28076171875,0.384521484375,0.0771484375
6,readout,,0,6,"1,0,0,0",,,,,,-1.186767578125,-0.00244140625,0.0029296875,0.28369140625,0.384521484375,0.0771484375
6,readout,,0,7,"1,0,0,0",,,,,,-1.150634765625,0.31591796875,-0.363525390625,-0.079833984375,0.384521484375,0.0771484375
6,readout,,0,8,"1,0,0,0",,,,,,0.2216796875,1.9990234375,0.443115234375,0.36328125,0.384521484375,0.0771484375
6,readout,,0,9,"1,0,0,0",,,,,,-0.0078125,-1.9990234375,0.015625,0.37890625,0.384521484375,0.0771484375
6,readout,,0,10,"1,0,0,0",,,,,,1.0,0.005615234375,0.005615234375,0.384521484375,0.384521484375,0.0771484375
6,readout,,1,0,"1,0,0,0",,,,,,-0.814697265625,0.021240234375,-0.017333984375,-0.017333984375,0.384521484375,0.0771484375
6,readout,,1,1,"1,0,0,0",,,,,,-0.104736328125,-0.540771484375,0.056640625,0.039306640625,0.384521484375,0.0771484375
6,readout,,1,2,"1,0,0,0",,,,,,-2.14892578125,0.103271484375,-0.221923828125,-0.1826171875,0.384521484375,0.0771484375
6,readout,,1,3,"1,0,0,0",,,,,,-0.64404296875,0.0478515625,-0.03076171875,-0.21337890625,0.384521484375,0.0771484375
6,readout,,1,4,"1,0,0,0",,,,,,0.507568359375,-0.000244140625,-0.000244140625,-0.213623046875,0.384521484375,0.0771484375
6,readout,,1,5,"1,0,0,0",,,,,,0.32568359375,0.17724609375,0.0576171875,-0.156005859375,0.384521484375,0.0771484375
6,readout,,1,6,"1,0,0,0",,,,,,-1.186767578125,-0.113525390625,0.134765625,-0.021240234375,0.384521484375,0.0771484375
6,readout,,1,7,"1,0,0,0",,,,,,-1.150634765625,-0.090576171875,0.104248046875,0.0830078125,0.384521484375,0.0771484375
6,readout,,1,8,"1,0,0,0",,,,,,0.2216796875,0.736328125,0.163330078125,0.246337890625,0.384521484375,0.0771484375
6,readout,,1,9,"1,0,0,0",,,,,,-0.0078125,0.166015625,-0.001220703125,0.2451171875,0.384521484375,0.0771484375
6,readout,,1,10,"1,0,0,0",,,,,,1.0,-0.16796875,-0.16796875,0.0771484375,0.384521484375,0.0771484375
7,neuron,0,,,"1,0,0,0",-0.712890625,-0.21142578125,0.0,-0.92431640625,0,,,,,,
7,neuron,1,,,"1,0,0,0",-0.091552734375,0.04296875,0.0,-0.048583984375,0,,,,,,
7,neuron,2,,,"1,0,0,0",-1.88037109375,-0.554931640625,-0.0078125,-2.443115234375,0,,,,,,
7,neuron,3,,,"1,0,0,0",-0.5634765625,-0.090576171875,0.0,-0.654052734375,0,,,,,,
7,neuron,4,,,"1,0,0,0",0.444091796875,0.15283203125,0.14111328125,0.738037109375,0,,,,,,
7,neuron,5,,,"1,0,0,0",0.284912109375,0.571533203125,0.0,0.8564453125,0,,,,,,
7,neuron,6,,,"1,0,0,0",-1.038330078125,-0.427001953125,0.0,-1.46533203125,0,,,,,,
7,neuron,7,,,"1,0,0,0",-1.0068359375,-0.383056640625,0.0,-1.389892578125,0,,,,,,
