t,measurement,delta,true_position,true_velocity,snn_position,snn_velocity,kalman_position,kalman_velocity,qkalman_position,qkalman_velocity,hwsnn_position,hwsnn_velocity,input_spike_0,input_spike_1,input_spike_2,input_spike_3,reservoir_spike_0,reservoir_spike_1,reservoir_spike_2,reservoir_spike_3,reservoir_spike_4,reservoir_spike_5,reservoir_spike_6,reservoir_spike_7,membrane_0,membrane_1,membrane_2,membrane_3,membrane_4,membrane_5,membrane_6,membrane_7
42,0.6256042249936751,0.1021580887152872,0.6768260232761677,0.16900673077253123,0.20947265625,-0.02587890625,0.6801009727097345,0.2030462284754614,0.68310546875,0.264404296875,0.20947265625,-0.02587890625,1,0,0,0,0,0,0,0,0,1,0,0,-1.9970703125,0.3818359375,-3.9990234375,-0.930419921875,0.975341796875,0.139404296875,-3.11962890625,-3.1162109375
43,0.5672077539003757,-0.058396471093299374,0.6801489109631365,0.16614438434843887,0.271728515625,0.05859375,0.6736500254723583,0.18371902631800993,0.676025390625,0.24755859375,0.271728515625,0.05859375,1,0,0,0,0,0,0,0,1,0,0,0,-1.958984375,0.376953125,-3.9990234375,-0.90478515625,0.1474609375,0.693603515625,-3.15673828125,-3.109619140625
44,0.5696430844295399,0.0024353305291642258,0.6834145517216234,0.1632820379243465,0.196533203125,-0.05615234375,0.667831559428106,0.16655943811937252,0.66943359375,0.232177734375,0.196533203125,-0.05615234375,1,0,0,0,0,0,0,0,0,1,0,0,-1.925537109375,0.4248046875,-3.9990234375,-0.88232421875,0.28173828125,0.151611328125,-3.189208984375,-3.10400390625
45,0.7191755289765976,0.14953244454705772,0.6866229455516284,0.16041969150025415,0.308349609375,0.100341796875,0.6753167198231852,0.1739478331860761,0.6787109375,0.238525390625,0.308349609375,0.100341796875,1,0,0,0,0,0,0,0,0,0,0,0,-1.896240234375,0.41455078125,-3.9990234375,-0.862548828125,0.54052734375,0.7041015625,-3.217529296875,-3.09912109375
46,0.6403036047677442,-0.07887192420885347,0.6901509009337895,0.17639776910805302,0.27392578125,-0.013671875,0.6755254226183794,0.16821999316870803,0.67919921875,0.232666015625,0.27392578125,-0.013671875,1,0,0,0,0,0,0,0,0,1,0,0,-1.87060546875,0.40576171875,-3.9990234375,-0.84521484375,0.625732421875,0.187744140625,-3.242431640625,-3.0947265625
47,0.813618250012093,0.1733146452443488,0.6939984178681066,0.1923758467158519,0.363525390625,0.151123046875,0.6901363966044791,0.18763292848742738,0.697265625,0.25048828125,0.363525390625,0.151123046875,1,0,0,0,0,0,0,0,0,0,0,0,-1.84814453125,0.39794921875,-3.9990234375,-0.830078125,0.841552734375,0.73583984375,-3.26416015625,-3.091064453125
48,0.7327922340775703,-0.08082601593452265,0.6981654963545796,0.20835392432365077,0.339599609375,0.033203125,0.6970816143753984,0.19306796338824372,0.70556640625,0.254638671875,0.339599609375,0.033203125,1,0,0,0,0,0,0,0,0,1,0,0,-1.82861328125,0.39111328125,-3.9990234375,-0.81689453125,0.88916015625,0.21533203125,-3.283203125,-3.087646484375
49,0.704467498157152,-0.028324735920418287,0.7026521363932086,0.22433200193144964,0.34375,0.128662109375,0.7012274749866048,0.19354600221714455,0.7099609375,0.253662109375,0.34375,0.128662109375,1,0,0,0,0,0,0,0,1,0,0,0,-1.8115234375,0.38525390625,-3.9990234375,-0.805419921875,0.072021484375,0.760009765625,-3.2998046875,-3.084716796875
50,0.5751944586327378,-0.12927303952441427,0.7074583379839935,0.24031007953924852,0.231689453125,-0.033203125,0.6947786644092203,0.17641913628885708,0.70068359375,0.234375,0.231689453125,-0.033203125,1,0,0,0,0,0,0,0,0,1,0,0,-1.79638671875,0.43212890625,-3.9990234375,-0.79541015625,0.2158203125,0.209716796875,-3.314208984375,-3.082275390625
51,0.7161056423510423,0.14091118371830458,0.7125841011269345,0.2562881571470474,0.2900390625,0.121826171875,0.699699312137526,0.1787029960335645,0.70654296875,0.23583984375,0.2900390625,0.121826171875,1,0,0,0,0,0,0,0,0,0,0,0,-1.783203125,0.421142578125,-3.9990234375,-0.78662109375,0.48291015625,0.755126953125,-3.326904296875,-3.080078125
52,0.7644824245734437,0.04837678222240138,0.7180294258220314,0.27226623475484624,0.3056640625,0.04736328125,0.707990368555016,0.18635632457237797,0.716796875,0.2431640625,0.3056640625,0.04736328125,1,0,0,0,0,0,0,0,0,1,0,0,-1.771728515625,0.411376953125,-3.9990234375,-0.77880859375,0.575439453125,0.232177734375,-3.338134765625,-3.078125
53,0.7198420387357287,-0.04464038583771501,0.7237943120692844,0.2882443123626451,0.36083984375,0.133056640625,0.7123346327289708,0.1873473739856967,0.721435546875,0.242919921875,0.36083984375,0.133056640625,1,0,0,0,0,0,0,0,0,0,0,0,-1.76171875,0.40283203125,-3.9990234375,-0.77197265625,0.79736328125,0.774658203125,-3.347900390625,-3.076416015625
54,0.6767549248280506,-0.043087113907678165,0.7298787598686932,0.30422238997044393,0.266845703125,0.03271484375,0.7131356748490055,0.182662009771349,0.72119140625,0.236083984375,0.266845703125,0.03271484375,1,0,0,0,0,0,0,0,0,1,0,0,-1.7529296875,0.3955078125,-3.9990234375,-0.76611328125,0.8505859375,0.249267578125,-3.3564453125,-3.074951171875
55,0.6789396888624455,0.002184764034394937,0.736282769220258,0.3202004675782428,0.30029296875,0.135009765625,0.7139915501690725,0.17825281330596537,0.720947265625,0.229736328125,0.30029296875,0.135009765625,1,0,0,0,0,0,0,0,1,0,0,0,-1.7451171875,0.38916015625,-3.9990234375,-0.760986328125,0.0380859375,0.78955078125,-3.364013671875,-3.07373046875
56,0.8237298380198652,0.14479014915741972,0.7430063401239788,0.3361785451860416,0.311279296875,0.060546875,0.725302568381132,0.1903598345280597,0.73583984375,0.2431640625,0.311279296875,0.060546875,1,0,0,0,0,0,0,0,0,1,0,0,-1.73828125,0.435546875,-3.9990234375,-0.75634765625,0.18603515625,0.235595703125,-3.37060546875,-3.072509765625
57,0.6944048639892435,-0.1293249740306217,0.7500494725798557,0.35215662279384047,0.3720703125,0.11669921875,0.7266092842883985,0.18648195641901585,0.73583984375,0.23681640625,0.3720703125,0.11669921875,1,0,0,0,0,0,0,0,0,0,0,0,-1.732421875,0.424072265625,-3.9990234375,-0.75244140625,0.456787109375,0.777587890625,-3.376220703125,-3.071533203125
58,0.5387452292586115,-0.15565963473063205,0.7574121665878885,0.3681347004016393,0.199462890625,-0.017578125,0.7166997881806371,0.16548219769249967,0.719482421875,0.208984375,0.199462890625,-0.017578125,1,0,0,0,0,0,0,0,0,1,0,0,-1.727294921875,0.4140625,-3.9990234375,-0.7490234375,0.552490234375,0.251953125,-3.381103515625,-3.070556640625
